position,qualRef,ref
pre,1,frog
pre,2,snake
pre,3,soldier
pre,4,runners
pre,5,touchpad
pre,6,athlete
pre,7,dunes
pre,8,artist
pre,9,beach
pre,10,violin
pre,11,people
pre,12,mouse
pre,13,berries
pre,14,sink
pre,15,money
pre,16,parking sp
pre,17,road
pre,18,recycling
pre,19,wine
pre,20,branch
pre,21,priest
pre,22,knife
pre,23,tree
pre,24,bench
pre,25,thief
pre,26,Q60
pre,27,doctor
pre,28,drugs
pre,29,plate
pre,30,dog
pre,31,drink
pre,32,router
pre,33,dirt
pre,34,pipe
pre,35,hen
pre,36,ship
pre,37,cattle
pre,38,cook
pre,39,fireplace
pre,40,alligator
pre,41,USB
pre,42,barrels
pre,43,boot
pre,44,king
pre,45,beans
pre,46,cave
pre,47,baby
pre,48,robot
pre,49,woman
pre,50,marijuana
pre,51,rocks
pre,52,videogame
pre,53,couch
pre,54,rabbit
pre,55,flower
pre,56,programmer
pre,57,cleaner
pre,58,microbes
pre,59,laptop
pre,60,city
pre,61,car
pre,62,bat
pre,63,church
pre,64,teacher
pre,65,cross
pre,66,factory
pre,67,socket
pre,68,moth
pre,69,pigeon
pre,70,door
pre,71,floppy
pre,72,clothes
pre,73,sphere
pre,74,Q45
pre,75,house
pre,76,cart
pre,77,peach
pre,78,flag
pre,79,cop
pre,80,cup
post,1,marijuana
post,2,cook
post,3,moth
post,4,athlete
post,5,mouse
post,6,recycling
post,7,dunes
post,8,knife
post,9,hen
post,10,rabbit
post,11,Q60
post,12,violin
post,13,router
post,14,drugs
post,15,flag
post,16,microbes
post,17,snake
post,18,baby
post,19,peach
post,20,laptop
post,21,cattle
post,22,couch
post,23,pigeon
post,24,bat
post,25,flower
post,26,fireplace
post,27,woman
post,28,wine
post,29,beach
post,30,road
post,31,rocks
post,32,clothes
post,33,plate
post,34,frog
post,35,cross
post,36,tree
post,37,cup
post,38,ship
post,39,dog
post,40,pipe
post,41,dirt
post,42,barrels
post,43,videogame
post,44,USB
post,45,artist
post,46,city
post,47,branch
post,48,programmer
post,49,robot
post,50,cop
post,51,touchpad
post,52,bench
post,53,sink
post,54,people
post,55,parking sp
post,56,door
post,57,socket
post,58,cleaner
post,59,floppy
post,60,alligator
post,61,priest
post,62,soldier
post,63,cart
post,64,runners
post,65,berries
post,66,car
post,67,thief
post,68,beans
post,69,sphere
post,70,cave
post,71,boot
post,72,church
post,73,house
post,74,drink
post,75,doctor
post,76,teacher
post,77,money
post,78,Q45
post,79,factory
post,80,king